v_1_1;v_1_2;v_1_3;v_1_4;v_1_5;v_1_6;v_1_7;v_1_8;v_1_9;v_1_10;v_1_11;v_1_12;v_1_13;v_1_14;v_1_15;v_1_16;s_2;s_4_1;s_4_2;s_4_3;s_6;m_1;s_11_1;s_11_2;s_11_3;s_11_4;s_11_5;s_11_6;s_11_7;s_11_8;s_11_9;s_11_10;p_01;p_02;p_03;p_04;p_05;p_06;p_07;p_08;p_09;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35;p_36;p_37;p_38;p_39;p_40;p_41;p_42;p_43;p_44;p_45;p_46;p_47;p_48;p_49;p_50;p_51;p_52;p_53;p_54;p_55;p_56;p_57;p_58;a_p;pb_1;i_01;i_02;i_03;i_04;i_05;i_06;i_07;i_08;i_09;i_10;i_11;i_12;i_13;i_14;i_15;i_16;i_17;i_18;fp_01;fp_02;fp_03;fp_04;fp_05;fp_06;fp_07;fp_08;fp_09;fp_10;fp_11;fp_12;fp_13;fp_14;fp_15;fp_16;fp_17;fp_18;fp_19;a_fp;up_01;up_02;up_03;up_04;up_05;up_06;up_07;up_08;up_09;up_10;up_11;up_12;up_13;up_14;hm_1;hm_2;hm_3;hm_4;hm_5;hm_6;hm_7;hn_1;hn_2;hn_3;hn_4;hn_5;hn_6;hn_7;b_1;b_2;b_3;b_4;b_5;b_6_1;b_6_2;b_6_3;b_7_1;b_7_2;b_7_3;b_7_4;b_8_1;b_8_2;b_8_3;bp_00;bp_01;bp_02;bp_03;bp_04;bp_05;bp_06;bp_07;bp_08;bp_09;bp_10;bp_11;bp_12;bp_13;bp_14;bp_15;bp_16;bp_17;bp_18;bp_19;bp_20;bp_21;bp_22;bp_23;bp_24;bp_25;bp_26;bp_27;bp_28;bp_29;bp_30;bp_31;bp_32;bp_33;bp_34;bp_35;bp_36;bp_37;bp_38;bp_39;bp_40;bp_41;bp_42;bp_43;bp_44;bp_45;bp_46;bp_47;bp_48;bp_49;bp_50;bp_51;bp_52;bp_53;bp_54;bp_55;bp_56;bp_57;bp_58;b_1_1;stato_1;stato_2;stato_3;stato_4;stato_5;s_1;s_3;s_5;s_7
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;1;3;1;5;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;4;2;1;4;4;4;1;1;1;1;4;;1;1;1;1;3;4;3;4;2;1;1;4;4;4;4;1;4;1;2;2;3;2;2;3;2;2;1;3;1;2;2;1;1;6;6;6;4;;5;5;;;;;;;;;;;6;;5;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;0;0;0;1;0;;;;
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;4;1;1;1;1;0;0;1;0;0;0;0;2;1;;;;;;;1;3;;;;3;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;13;1;1;3;1;2;3;2;1;1;1;2;1;3;1;2;2;3;2;3;2;1;2;2;3;2;2;1;3;3;3;2;3;1;2;2;2;3;;2;3;3;3;3;3;3;4;2;3;2;4;2;2;1;3;2;3;4;2;3;1;4;2;4;4;3;3;2;2;1;1;1;1;1;1;6;;4;6;;;;;;7;;;;;;;7;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;26;0;0;0;1;0;;;;
0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;5;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;1;5;1;5;4;5;5;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;2;4;3;2;2;3;1;2;2;2;2;3;1;2;2;1;2;3;3;2;2;2;3;3;2;2;2;3;4;3;3;1;2;2;2;2;;2;;3;3;3;3;3;3;1;3;2;4;3;3;3;3;3;2;2;2;3;2;3;3;3;3;3;3;1;3;1;1;1;1;1;1;5;;4;5;;;;7;;;;;;;6;;5;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;0;0;0;1;0;;;;
1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;5;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;;;1;3;;;1;5;1;5;4;4;4;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;2;2;3;4;4;3;2;1;1;1;1;1;3;1;1;1;1;3;3;2;1;2;4;3;3;1;4;3;3;4;3;4;1;1;1;2;4;;4;2;3;3;3;4;4;4;3;2;3;3;4;2;2;3;3;2;4;3;1;2;4;2;3;4;3;3;1;1;2;1;1;1;1;1;6;;5;6;;;;7;;;6;;;;6;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;0;0;0;1;0;;;;
0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;4;1;1;1;0;0;0;0;0;0;0;0;1;3;;;;;;;1;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;1;3;2;1;;1;1;1;1;1;1;1;1;1;1;1;1;3;3;2;3;3;3;3;3;3;3;2;3;3;4;2;1;1;2;3;;3;2;3;3;3;3;3;3;2;3;3;3;3;3;2;2;3;3;2;3;2;2;3;3;3;3;3;2;1;1;1;1;1;1;1;1;5;;5;6;;;;;5;;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;0;0;0;1;0;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;0;1;0;0;0;;;;
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;4;1;1;0;1;0;0;1;0;0;0;0;1;3;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;55;4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;0;0;1;0;0;;;;
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;4;1;1;0;0;0;0;0;1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;;;;;;;;;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;3;3;4;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;2;3;2;4;1;3;1;1;2;2;4;1;2;2;1;1;1;1;1;1;1;5;;6;6;;;;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;6;;;;;;;;;;;;26;0;0;0;1;0;;;;
1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;5;1;0;0;4;1;1;1;0;0;0;0;0;1;0;0;1;3;5;;;;1;5;;;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;1;;;;;;;;;;;;;5;1;2;2;2;2;3;3;1;1;1;2;1;3;2;1;1;3;3;3;3;2;2;3;3;3;2;2;2;2;2;1;3;1;2;2;2;3;;2;2;3;2;3;4;3;4;2;3;2;3;2;3;2;3;2;3;3;3;3;4;2;4;2;1;2;3;1;2;1;1;1;1;1;1;4;;3;3;;;;7;3;;;;;;3;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;52;0;0;0;1;0;;;;
0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;5;0;1;0;3;2;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;5;;;;;;;;;;;Psykologi og tysk;49;2;3;3;1;2;3;3;2;2;1;1;1;3;1;1;1;1;2;3;3;2;4;3;4;4;3;3;4;4;2;1;1;1;2;3;4;2;;3;2;3;4;3;3;3;4;2;3;3;3;3;4;2;3;2;2;3;3;4;4;1;4;1;1;1;3;1;2;4;1;2;1;1;1;;5;5;4;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;;;;;;;;;;;;26;0;0;0;1;0;;;;
